Orden;Material;Documento material;Descripción material;Ctd.en UM base y signo +/-;Impte.mon.local;Clase de movimiento;Fecha de documento;Fecha contabiliz.;Almacén;Ind.movim.mercancías;Centro;Pos.documento mat.;Lote;Indicador Debe/Haber;Moneda;Reserva
1082908;14002429;4916438690;ALAS HOT WINGS BOL(40UN);-150;-2.361.450;101;18/5/2026;18/5/2026;1001;4;B010;1;2605180174;S;COP;0
1082908;14002429;4916439118;ALAS HOT WINGS BOL(40UN);-150;-2.361.450;101;18/5/2026;18/5/2026;1001;4;B010;1;2605180174;S;COP;0
1082908;14002429;4916439421;ALAS HOT WINGS BOL(40UN);-50;-787.150;101;18/5/2026;18/5/2026;1001;4;B010;1;2605180174;S;COP;0
1082908;14002429;4916439600;ALAS HOT WINGS BOL(40UN);-100;-1.574.300;101;18/5/2026;18/5/2026;1001;4;B010;1;2605180174;S;COP;0
1082908;14002429;4916439969;ALAS HOT WINGS BOL(40UN);-100;-1.574.300;101;18/5/2026;18/5/2026;1001;4;B010;1;2605180174;S;COP;0
1082908;14002429;4916440042;ALAS HOT WINGS BOL(40UN);-300;-4.722.900;101;18/5/2026;18/5/2026;1001;4;B010;1;2605180174;S;COP;0
1082908;14002429;4916440064;ALAS HOT WINGS BOL(40UN);-100;-1.574.300;101;18/5/2026;18/5/2026;1001;4;B010;1;2605180174;S;COP;0
1082915;11000341;4916453426;MARINADOR CRISPY 15.66KG CJX60UN;57;203.863;261;19/5/2026;19/5/2026;1001;1;B010;1;2602231132;H;COP;1946610
1082915;12002548;4916437693;CARNE POLLO CORTADA PARA POP CORN;251,300;3.873.790;261;18/5/2026;18/5/2026;1001;1;B010;1;2605170016;H;COP;1946610
1082915;12002548;4916440951;CARNE POLLO CORTADA PARA POP CORN;822,600;12.680.381;261;18/5/2026;18/5/2026;1001;1;B010;1;2605180261;H;COP;1946610
1082915;18001585;4916453426;BOLSA FUNDA BTOX10BOLX100UN;80;17.204;261;19/5/2026;19/5/2026;1001;1;B010;3;2604151095;H;COP;1946610
1082915;18001586;4916453426;BOLSA FUELLE  BTOX50BOLX100UN;1.450;79.609;261;19/5/2026;19/5/2026;1001;1;B010;2;2604291357;H;COP;1946610
1082915;18001602;4916437196;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946610
1082915;18001602;4916437197;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946610
1082915;18001602;4916437505;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946610
1082915;18001602;4916437547;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946610
1082915;18001602;4916438000;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946610
1082915;18001602;4916438004;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946610
1082915;18001602;4916440010;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946610
1082915;18001602;4916440030;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946610
1082915;18001612;4916453426;CINTA DE RESINA 110*450M ROLX45000CM;10.000;0;261;19/5/2026;19/5/2026;1001;1;B010;4;2603311297;H;COP;1946610
1082915;14002613;4916437831;POP CORN BOL(0,88KG);-160;-1.949.760;101;18/5/2026;18/5/2026;1001;4;B010;1;2605180187;S;COP;0
1082915;14002613;4916438697;POP CORN BOL(0,88KG);-240;-2.924.640;101;18/5/2026;18/5/2026;1001;4;B010;1;2605180187;S;COP;0
1082915;14002613;4916440165;POP CORN BOL(0,88KG);-480;-5.849.280;101;18/5/2026;18/5/2026;1001;4;B010;1;2605180187;S;COP;0
1082915;14002613;4916448153;POP CORN BOL(0,88KG);-480;-5.849.280;101;18/5/2026;18/5/2026;1001;4;B010;1;2605180187;S;COP;0
1082917;11000784;4916438659;ALAS DE POLLO MP;98,200;827.338;261;18/5/2026;18/5/2026;1001;1;B010;1;2605160356;H;COP;1946611
1082917;11000784;4916438670;ALAS DE POLLO MP;181,200;1.526.615;261;18/5/2026;18/5/2026;1001;1;B010;1;2605151425;H;COP;1946611
1082917;11000784;4916438672;ALAS DE POLLO MP;18,600;156.706;261;18/5/2026;18/5/2026;1001;1;B010;1;2605130356;H;COP;1946611
1082917;11000784;4916440090;ALAS DE POLLO MP;69,800;588.207;261;18/5/2026;18/5/2026;1001;1;B010;1;2605160405;H;COP;1946611
1082917;11000784;4916440102;ALAS DE POLLO MP;369,200;3.111.263;261;18/5/2026;18/5/2026;1001;1;B010;1;2605141202;H;COP;1946611
1082917;11000784;4916441793;ALAS DE POLLO MP;174,400;1.469.676;261;18/5/2026;18/5/2026;1001;1;B010;1;2605151425;H;COP;1946611
1082917;11000784;4916445591;ALAS DE POLLO MP;73,800;621.916;261;18/5/2026;18/5/2026;1001;1;B010;1;2605160405;H;COP;1946611
1082917;11000784;4916445595;ALAS DE POLLO MP;164;1.382.035;261;18/5/2026;18/5/2026;1001;1;B010;1;2605160356;H;COP;1946611
1082917;11000784;4916446528;ALAS DE POLLO MP;94,600;797.198;261;18/5/2026;18/5/2026;1001;1;B010;1;2605180785;H;COP;1946611
1082917;11001117;4916439099;POLLO FRESCO CJX20UN;1.100;13.824.145;261;18/5/2026;18/5/2026;1001;1;B010;1;2605151328;H;COP;1946611
1082917;11001117;4916439099;POLLO FRESCO CJX20UN;3.000;37.702.212;261;18/5/2026;18/5/2026;1001;1;B010;2;2605160295;H;COP;1946611
1082917;11001117;4916439727;POLLO FRESCO CJX20UN;1.340;16.840.322;261;18/5/2026;18/5/2026;1001;1;B010;1;2605160295;H;COP;1946611
1082917;11001117;4916440871;POLLO FRESCO CJX20UN;3.000;37.654.888;261;18/5/2026;18/5/2026;1001;1;B010;1;2605151274;H;COP;1946611
1082917;11001117;4916441950;POLLO FRESCO CJX20UN;2.000;25.167.503;261;18/5/2026;18/5/2026;1001;1;B010;1;2605151274;H;COP;1946611
1082917;11001117;4916445949;POLLO FRESCO CJX20UN;2.000;25.167.503;261;18/5/2026;18/5/2026;1001;1;B010;1;2605160371;H;COP;1946611
1082917;12001211;4916439612;SALMUERA IMOR;213,360;187.970;261;18/5/2026;18/5/2026;1001;1;B010;1;2605160099;H;COP;1946611
1082917;12001211;4916446178;SALMUERA IMOR;1.493,520;1.315.791;261;18/5/2026;18/5/2026;1001;1;B010;1;2605180216;H;COP;1946611
1082917;13000368;4916446486;GRASA DE POLLO;-6,200;-1.860;531;18/5/2026;18/5/2026;1001;1;B010;1;2605180195;S;COP;1946611
1082917;13000371;4916446288;PUNTILLAS;-240;-48.000;531;18/5/2026;18/5/2026;1001;1;B010;1;2605180195;S;COP;1946611
1082917;13000371;4916446822;PUNTILLAS;-5,400;-1.080;531;18/5/2026;18/5/2026;1001;1;B010;1;2605180195;S;COP;1946611
1082917;13000371;4916446826;PUNTILLAS;-60;-12.000;531;18/5/2026;18/5/2026;1001;1;B010;1;2605180195;S;COP;1946611
1082917;13000371;4916446880;PUNTILLAS;-9,700;-1.940;531;18/5/2026;18/5/2026;1001;1;B010;1;2605180195;S;COP;1946611
1082917;18001587;4916447341;BOLSA POLLO ORIGINAL  BTOX2500UN;2.700;283.827;261;18/5/2026;18/5/2026;1001;1;B010;1;2604221256;H;COP;1946611
1082917;18001596;4916437389;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916437413;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916437423;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916437425;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916437625;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916437705;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916437756;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916437793;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916437941;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916438309;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916438484;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916438534;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916438681;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916438731;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916438759;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916438790;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916438975;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916439054;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916439205;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916439665;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916440282;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441123;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441152;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441157;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441204;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441306;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441369;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441464;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441485;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441543;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441549;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441568;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441615;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441629;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441662;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441665;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441705;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441737;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441767;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441796;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441817;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441851;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441857;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441882;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441923;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441929;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916441955;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916444077;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916444104;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916444109;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916444173;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916445275;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916445317;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916445379;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916445418;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916445453;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916445481;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916445495;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916445530;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916445570;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916445599;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916445711;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916445799;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916445828;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916445882;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916445901;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916445907;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916445943;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916446280;ETIQUETA COLORES CJX6ROLX3800UN;25;2.500;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916446286;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916446428;ETIQUETA COLORES CJX6ROLX3800UN;15;1.500;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916446484;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916446520;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916446820;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916446824;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916446827;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916446844;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916446847;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916446868;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001596;4916448062;ETIQUETA COLORES CJX6ROLX3800UN;1;100;261;18/5/2026;18/5/2026;1001;1;B010;1;2404011303;H;COP;1946611
1082917;18001602;4916437183;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946611
1082917;18001602;4916437184;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946611
1082917;18001602;4916437251;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946611
1082917;18001602;4916437312;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946611
1082917;18001602;4916438553;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946611
1082917;18001602;4916438558;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946611
1082917;18001602;4916438576;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946611
1082917;18001602;4916440166;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946611
1082917;18001602;4916440182;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946611
1082917;18001602;4916440724;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946611
1082917;18001602;4916440728;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946611
1082917;18001602;4916440732;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946611
1082917;18001602;4916441599;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946611
1082917;18001602;4916441734;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604290726;H;COP;1946611
1082917;18001602;4916443817;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604290726;H;COP;1946611
1082917;18001602;4916443841;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604290726;H;COP;1946611
1082917;18001602;4916443847;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604290726;H;COP;1946611
1082917;18001602;4916443854;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604290726;H;COP;1946611
1082917;18001602;4916443920;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604290726;H;COP;1946611
1082917;18001602;4916443923;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604290726;H;COP;1946611
1082917;18001602;4916443928;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604290726;H;COP;1946611
1082917;18001602;4916443951;ETIQUETA TERMICA CJX4ROLX2605UN;100;4.800;261;18/5/2026;18/5/2026;1001;1;B010;1;2604290726;H;COP;1946611
1082917;18001612;4916447341;CINTA DE RESINA 110*450M ROLX45000CM;18.900;0;261;18/5/2026;18/5/2026;1001;1;B010;2;2603311297;H;COP;1946611
